feature_index,street_name,city,score
1285,INTERSTATE 195,201,3.0
1286,INTERSTATE 195,201,3.0
1287,INTERSTATE 195,201,3.0
1288,INTERSTATE 195,201,3.0
1289,INTERSTATE 195,247,3.0
1290,INTERSTATE 195,265,3.0
1302,INTERSTATE 190,153,3.0
1303,INTERSTATE 190,153,3.0
1304,INTERSTATE 190,153,3.0
1305,INTERSTATE 190,282,3.0
1306,INTERSTATE 190,282,3.0
1310,INTERSTATE 195,95,6.0
1311,INTERSTATE 195,95,6.0
1312,INTERSTATE 195,95,6.0
1313,INTERSTATE 195,95,6.0
1314,INTERSTATE 195,95,6.0
1315,INTERSTATE 195,95,6.0
1316,INTERSTATE 195,95,3.0
1317,INTERSTATE 195,95,3.0
1318,INTERSTATE 195,95,3.0
1319,INTERSTATE 195,95,3.0
1320,INTERSTATE 195,95,3.0
1321,INTERSTATE 190,282,3.0
1322,INTERSTATE 190,282,3.0
1362,INTERSTATE 190,147,3.0
1363,INTERSTATE 190,153,3.0
1364,INTERSTATE 190,153,3.0
1372,INTERSTATE 190,348,12.0
1373,INTERSTATE 190,348,12.0
1374,INTERSTATE 190,348,12.0
1375,INTERSTATE 190,348,12.0
1376,INTERSTATE 190,134,3.0
1377,INTERSTATE 190,134,3.0
1378,INTERSTATE 190,134,3.0
1379,INTERSTATE 190,147,3.0
1380,INTERSTATE 190,147,3.0
1381,INTERSTATE 190,147,3.0
1382,INTERSTATE 190,147,3.0
1383,INTERSTATE 190,147,3.0
1393,INTERSTATE 190,282,3.0
1394,INTERSTATE 190,282,3.0
1395,INTERSTATE 195,95,3.0
1396,INTERSTATE 195,95,6.0
1397,INTERSTATE 195,95,6.0
1398,INTERSTATE 195,95,6.0
1399,INTERSTATE 195,169,3.0
1400,INTERSTATE 195,169,3.0
1401,INTERSTATE 190,321,3.0
1402,INTERSTATE 190,321,3.0
1403,INTERSTATE 190,321,3.0
1404,INTERSTATE 190,321,3.0
1405,INTERSTATE 190,348,3.0
1406,INTERSTATE 190,348,3.0
1407,INTERSTATE 190,348,3.0
1408,INTERSTATE 190,348,3.0
1409,INTERSTATE 190,348,3.0
1410,INTERSTATE 190,348,3.0
1411,INTERSTATE 190,348,3.0
1412,INTERSTATE 190,348,3.0
1413,INTERSTATE 190,348,3.0
1414,INTERSTATE 190,348,3.0
1415,INTERSTATE 190,348,3.0
1416,INTERSTATE 190,348,3.0
1417,INTERSTATE 190,348,3.0
1418,INTERSTATE 190,348,3.0
1421,INTERSTATE 195,169,3.0
1422,INTERSTATE 195,169,3.0
1423,INTERSTATE 195,169,3.0
1424,INTERSTATE 195,169,3.0
1425,INTERSTATE 195,169,3.0
1426,INTERSTATE 195,169,3.0
1427,INTERSTATE 195,169,3.0
1428,INTERSTATE 195,169,3.0
1429,INTERSTATE 195,169,3.0
1430,INTERSTATE 195,173,3.0
1431,INTERSTATE 195,169,3.0
1432,INTERSTATE 195,173,3.0
1435,INTERSTATE 195,72,3.0
1436,INTERSTATE 195,72,3.0
1437,INTERSTATE 195,72,3.0
1438,INTERSTATE 195,72,3.0
1439,INTERSTATE 195,72,3.0
1440,INTERSTATE 195,72,3.0
1441,INTERSTATE 195,72,3.0
1442,INTERSTATE 195,94,3.0
1443,INTERSTATE 195,94,3.0
1444,INTERSTATE 195,94,3.0
1445,INTERSTATE 195,94,3.0
1446,INTERSTATE 195,94,3.0
1447,INTERSTATE 195,94,3.0
1448,INTERSTATE 195,201,3.0
1449,INTERSTATE 195,94,3.0
1451,INTERSTATE 190,153,3.0
1452,INTERSTATE 190,153,3.0
1453,INTERSTATE 190,153,3.0
1454,INTERSTATE 190,153,3.0
1455,INTERSTATE 190,153,3.0
1461,INTERSTATE 195,310,3.0
1462,INTERSTATE 195,310,3.0
1474,INTERSTATE 195,94,3.0
