feature_index,street_name,city,score
1285,INTERSTATE 195,201,2.5
1286,INTERSTATE 195,201,2.5
1287,INTERSTATE 195,201,2.5
1288,INTERSTATE 195,201,2.5
1289,INTERSTATE 195,247,2.5
1290,INTERSTATE 195,265,2.5
1302,INTERSTATE 190,153,2.5
1303,INTERSTATE 190,153,2.5
1304,INTERSTATE 190,153,2.5
1305,INTERSTATE 190,282,2.5
1306,INTERSTATE 190,282,2.5
1310,INTERSTATE 195,95,5.0
1311,INTERSTATE 195,95,5.0
1312,INTERSTATE 195,95,5.0
1313,INTERSTATE 195,95,5.0
1314,INTERSTATE 195,95,5.0
1315,INTERSTATE 195,95,5.0
1316,INTERSTATE 195,95,2.5
1317,INTERSTATE 195,95,2.5
1318,INTERSTATE 195,95,2.5
1319,INTERSTATE 195,95,2.5
1320,INTERSTATE 195,95,2.5
1321,INTERSTATE 190,282,2.5
1322,INTERSTATE 190,282,2.5
1362,INTERSTATE 190,147,2.5
1363,INTERSTATE 190,153,2.5
1364,INTERSTATE 190,153,2.5
1372,INTERSTATE 190,348,10.0
1373,INTERSTATE 190,348,10.0
1374,INTERSTATE 190,348,10.0
1375,INTERSTATE 190,348,10.0
1376,INTERSTATE 190,134,2.5
1377,INTERSTATE 190,134,2.5
1378,INTERSTATE 190,134,2.5
1379,INTERSTATE 190,147,2.5
1380,INTERSTATE 190,147,2.5
1381,INTERSTATE 190,147,2.5
1382,INTERSTATE 190,147,2.5
1383,INTERSTATE 190,147,2.5
1393,INTERSTATE 190,282,2.5
1394,INTERSTATE 190,282,2.5
1395,INTERSTATE 195,95,2.5
1396,INTERSTATE 195,95,5.0
1397,INTERSTATE 195,95,5.0
1398,INTERSTATE 195,95,5.0
1399,INTERSTATE 195,169,2.5
1400,INTERSTATE 195,169,2.5
1401,INTERSTATE 190,321,2.5
1402,INTERSTATE 190,321,2.5
1403,INTERSTATE 190,321,2.5
1404,INTERSTATE 190,321,2.5
1405,INTERSTATE 190,348,2.5
1406,INTERSTATE 190,348,2.5
1407,INTERSTATE 190,348,2.5
1408,INTERSTATE 190,348,2.5
1409,INTERSTATE 190,348,2.5
1410,INTERSTATE 190,348,2.5
1411,INTERSTATE 190,348,2.5
1412,INTERSTATE 190,348,2.5
1413,INTERSTATE 190,348,2.5
1414,INTERSTATE 190,348,2.5
1415,INTERSTATE 190,348,2.5
1416,INTERSTATE 190,348,2.5
1417,INTERSTATE 190,348,2.5
1418,INTERSTATE 190,348,2.5
1421,INTERSTATE 195,169,2.5
1422,INTERSTATE 195,169,2.5
1423,INTERSTATE 195,169,2.5
1424,INTERSTATE 195,169,2.5
1425,INTERSTATE 195,169,2.5
1426,INTERSTATE 195,169,2.5
1427,INTERSTATE 195,169,2.5
1428,INTERSTATE 195,169,2.5
1429,INTERSTATE 195,169,2.5
1430,INTERSTATE 195,173,2.5
1431,INTERSTATE 195,169,2.5
1432,INTERSTATE 195,173,2.5
1435,INTERSTATE 195,72,2.5
1436,INTERSTATE 195,72,2.5
1437,INTERSTATE 195,72,2.5
1438,INTERSTATE 195,72,2.5
1439,INTERSTATE 195,72,2.5
1440,INTERSTATE 195,72,2.5
1441,INTERSTATE 195,72,2.5
1442,INTERSTATE 195,94,2.5
1443,INTERSTATE 195,94,2.5
1444,INTERSTATE 195,94,2.5
1445,INTERSTATE 195,94,2.5
1446,INTERSTATE 195,94,2.5
1447,INTERSTATE 195,94,2.5
1448,INTERSTATE 195,201,2.5
1449,INTERSTATE 195,94,2.5
1451,INTERSTATE 190,153,2.5
1452,INTERSTATE 190,153,2.5
1453,INTERSTATE 190,153,2.5
1454,INTERSTATE 190,153,2.5
1455,INTERSTATE 190,153,2.5
1461,INTERSTATE 195,310,2.5
1462,INTERSTATE 195,310,2.5
1474,INTERSTATE 195,94,2.5
1475,INTERSTATE 195,95,2.5
1476,INTERSTATE 195,169,2.5
1477,INTERSTATE 195,169,2.5
1478,INTERSTATE 195,169,2.5
1479,INTERSTATE 195,169,2.5
1480,INTERSTATE 195,169,2.5
1481,INTERSTATE 195,169,2.5
1482,INTERSTATE 290,348,2.5
1483,INTERSTATE 290,348,2.5
1484,INTERSTATE 290,348,2.5
1485,INTERSTATE 195,273,2.5
1486,INTERSTATE 195,273,2.5
1487,INTERSTATE 195,273,2.5
1488,INTERSTATE 195,201,2.5
1489,INTERSTATE 195,201,2.5
1490,INTERSTATE 195,201,2.5
1491,INTERSTATE 195,201,2.5
1492,INTERSTATE 195,201,2.5
1493,INTERSTATE 195,201,2.5
1494,INTERSTATE 195,169,2.5
1495,INTERSTATE 195,173,2.5
1496,INTERSTATE 195,173,2.5
1497,INTERSTATE 195,173,2.5
1498,INTERSTATE 195,173,2.5
1499,INTERSTATE 195,265,2.5
1500,INTERSTATE 195,265,2.5
1501,INTERSTATE 195,72,2.5
1502,INTERSTATE 195,72,2.5
1503,INTERSTATE 195,72,2.5
1504,INTERSTATE 195,94,2.5
1505,INTERSTATE 195,273,2.5
1506,RAMP-RT 25 WB TO RT 195 WB,310,5.0
1507,RAMP-RT 25 WB TO RT 195 WB,310,5.0
1508,INTERSTATE 290,17,2.5
1509,INTERSTATE 290,17,2.5
1510,INTERSTATE 290,17,2.5
1511,INTERSTATE 290,17,2.5
1512,INTERSTATE 290,17,2.5
1513,INTERSTATE 290,17,2.5
1514,INTERSTATE 290,39,2.5
1515,INTERSTATE 290,170,2.5
1516,INTERSTATE 290,170,5.0
1517,INTERSTATE 290,170,5.0
1518,INTERSTATE 195,273,2.5
1519,INTERSTATE 195,273,2.5
1520,INTERSTATE 195,273,5.0
1521,INTERSTATE 195,273,5.0
1522,INTERSTATE 195,273,5.0
1523,INTERSTATE 195,292,2.5
1524,INTERSTATE 195,292,2.5
1525,INTERSTATE 195,292,2.5
1526,INTERSTATE 195,292,2.5
1527,INTERSTATE 195,292,2.5
1528,INTERSTATE 195,292,2.5
1529,INTERSTATE 195,292,2.5
1530,INTERSTATE 195,292,2.5
1531,INTERSTATE 195,292,2.5
1532,INTERSTATE 195,292,2.5
1533,INTERSTATE 195,310,2.5
1534,INTERSTATE 195,310,2.5
1535,INTERSTATE 195,247,2.5
1536,INTERSTATE 195,265,2.5
1538,INTERSTATE 195,265,2.5
1539,INTERSTATE 195,265,2.5
1540,INTERSTATE 195,265,2.5
1541,INTERSTATE 195,273,2.5
1542,INTERSTATE 195,273,2.5
1543,RAMP-RT 195 EB TO RT 495 NB,310,5.0
1544,RAMP-RT 195 EB TO RT 495 NB,310,2.5
1545,RAMP-RT 195 EB TO RT 495 NB,310,2.5
1546,INTERSTATE 195,72,2.5
1547,INTERSTATE 195,72,2.5
1548,INTERSTATE 195,72,2.5
1549,INTERSTATE 195,72,2.5
1550,INTERSTATE 195,310,2.5
1551,INTERSTATE 195,310,2.5
1552,INTERSTATE 195,310,2.5
1553,INTERSTATE 195,310,2.5
1554,INTERSTATE 195,310,2.5
1555,INTERSTATE 195,310,2.5
1556,INTERSTATE 195,310,2.5
1557,INTERSTATE 195,310,2.5
1558,INTERSTATE 195,169,2.5
1559,INTERSTATE 195,310,2.5
1560,INTERSTATE 195,310,2.5
1561,INTERSTATE 195,310,2.5
1562,INTERSTATE 195,334,2.5
1563,INTERSTATE 195,334,2.5
1564,INTERSTATE 195,334,2.5
1565,INTERSTATE 195,334,2.5
1566,INTERSTATE 195,334,2.5
1567,RAMP-RT 195 EB TO RT 495 NB,310,5.0
1568,INTERSTATE 195,173,2.5
1569,INTERSTATE 195,173,2.5
1570,INTERSTATE 195,173,2.5
1571,INTERSTATE 195,201,2.5
1572,INTERSTATE 195,201,2.5
1573,INTERSTATE 195,201,2.5
1574,INTERSTATE 195,201,2.5
1575,INTERSTATE 195,334,2.5
1576,INTERSTATE 195,334,2.5
1577,INTERSTATE 195,334,2.5
1578,INTERSTATE 290,170,2.5
1579,INTERSTATE 290,170,2.5
1580,INTERSTATE 290,215,2.5
1581,INTERSTATE 195,94,2.5
1582,INTERSTATE 195,94,2.5
1583,INTERSTATE 195,94,2.5
1584,INTERSTATE 195,94,2.5
1585,INTERSTATE 195,95,2.5
1586,INTERSTATE 195,95,5.0
1587,INTERSTATE 195,95,5.0
1588,INTERSTATE 195,95,5.0
1589,INTERSTATE 195,95,5.0
1590,INTERSTATE 195,95,5.0
1591,INTERSTATE 195,95,2.5
1592,INTERSTATE 195,95,2.5
1593,INTERSTATE 195,95,5.0
1594,INTERSTATE 195,95,2.5
1595,INTERSTATE 195,95,2.5
1596,INTERSTATE 195,95,2.5
1597,INTERSTATE 195,95,2.5
1598,INTERSTATE 195,95,2.5
1599,INTERSTATE 195,292,2.5
1600,INTERSTATE 195,292,2.5
1601,INTERSTATE 195,292,2.5
1602,INTERSTATE 195,292,2.5
1603,INTERSTATE 195,292,2.5
1604,INTERSTATE 290,215,2.5
1605,INTERSTATE 290,215,2.5
1606,INTERSTATE 290,215,2.5
1607,INTERSTATE 290,215,2.5
1608,INTERSTATE 290,215,2.5
1609,INTERSTATE 290,271,2.5
1610,INTERSTATE 290,271,2.5
1611,INTERSTATE 290,348,2.5
1612,INTERSTATE 290,348,2.5
